id,Name,titleProject_id,class,score , login , password
212 , Марюшкина Яна Федоровна , 345 , 10д , 5 , Марюшкина_ЯФ , Xz4r8RVc
215 , Дочкин Геннадий Алексиевич , 52 , 11и , 5 , Дочкин_ГА , f1ktMJHN
216 , Иняхин Руслан Сергеевич , 234 , 7и , 5 , Иняхин_РС , 0ZoGzrAG
223 , Грамоткин Илья Викторович , 195 , 8д , 5 , Грамоткин_ИВ , xAALvP42
225 , Цинина Светлана Яковлевна , 105 , 11г , 5 , Цинина_СЯ , opXh5HdC
227 , Реева Валентина Максимовна , 146 , 11и , 5 , Реева_ВМ , EB70GEyh
228 , Слесивых Мария Аркадьевна , 35 , 7и , 5 , Слесивых_МА , QhSQ3U1x
229 , Афтаева Полина Ивановна , 193 , 10д , 5 , Афтаева_ПИ , 14ojwDmO
230 , Кривицкий Валентин Виталиевич , 208 , 8х , 5 , Кривицкий_ВВ , fjcTjG4C
237 , Конофалова Клара Петровна , 95 , 11д , 5 , Конофалова_КП , gZeJ1CsQ
240 , Варов Кирилл Иванович , 28 , 8а , 5 , Варов_КИ , R4CL6v3k
247 , Серпичев Василий Алексиевич , 394 , 10х , 5 , Серпичев_ВА , cOPRA9L9
248 , Вострышев Яков Аркадиевич , 343 , 8г , 5 , Вострышев_ЯА , vn1WmSAm
250 , Кулапов Александр Юрьевич , 109 , 9б , 5 , Кулапов_АЮ , 7RR51sF4
260 , Кыштымова Евгения Эдуардовна , 255 , 8в , 5 , Кыштымова_ЕЭ , SeD0QLM3
261 , Ккнязева Клавдия Дмитриевна , 34 , 7б , 5 , Ккнязева_КД , MNGgH4oS
266 , Гомольский Владимир Юриевич , 314 , 11х , 5 , Гомольский_ВЮ , B13uQLF6
267 , Швинова Марина Федоровна , 271 , 8г , 5 , Швинова_МФ , dmT5GkXW
270 , Евстихеев Игорь Василиевич , 422 , 10х , 5 , Евстихеев_ИВ , pmE8oYX3
272 , Гляченков Григорий Николаевич , 431 , 10а , 5 , Гляченков_ГН , dlh6pQsb
274 , Скаредов Яков Иванович , 337 , 9т , 5 , Скаредов_ЯИ , sRz7zAfP
276 , Кравчина Светлана Аркадьевна , 413 , 11г , 5 , Кравчина_СА , y9wtEzm9
282 , Коточигов Семён Игоревич , 26 , 9д , 5 , Коточигов_СИ , zR4Xp8cY
288 , Чикмарев Валентин Валериевич , 306 , 9и , 5 , Чикмарев_ВВ , gAdnxm3F
292 , Кацов Павел Павлович , 236 , 10г , 5 , Кацов_ПП , nJWzmZh8
294 , Мотовицкий Роман Аркадиевич , 31 , 11и , 5 , Мотовицкий_РА , 7l0hsDgR
300 , Крупенова Наталия Андреевна , 209 , 7в , 5 , Крупенова_НА , Y2Sz6Zvm
303 , Берзин Герасим Антонович , 349 , 11т , 5 , Берзин_ГА , BzddfA4H
306 , Чумейкин Константин Антонович , 8 , 8б , 5 , Чумейкин_КА , FcR8ZTXD
309 , Акуратова Клавдия Андреевна , 92 , 9г , 5 , Акуратова_КА , nEall8bR
310 , Курмеева Елизавета Валерьевна , 486 , 8а , 5 , Курмеева_ЕВ , DWp0RNq9
312 , Бакушин Эдуард Адамович , 265 , 7б , 5 , Бакушин_ЭА , L4DN18hR
319 , Глоточкина Оксана Аркадьевна , 370 , 9и , 5 , Глоточкина_ОА , J0AKa1Af
320 , Шапина Маргарита Романовна , 163 , 8б , 5 , Шапина_МР , 709kTVE0
325 , Боготынина София Егоровна , 63 , 11б , 5 , Боготынина_СЕ , MbR18xtK
326 , Саюшкин Игорь Алексиевич , 211 , 11х , 5 , Саюшкин_ИА , YV55r3nO
328 , Незлина Жанна Василевна , 426 , 8б , 5 , Незлина_ЖВ , r7MCDDRR
330 , Пустынкин Вадим Антонович , 388 , 10в , 5 , Пустынкин_ВА , 3kcrHtrY
331 , Аринакова Ирина Михайловна , 150 , 8в , 5 , Аринакова_ИМ , PLz8LZdE
332 , Обиралкова Мария Егоровна , 294 , 11т , 5 , Обиралкова_МЕ , v3rMksxc
334 , Яуров Герасим Юрьевич , 38 , 9а , 5 , Яуров_ГЮ , 7gXa4n1l
336 , Гвасков Евгений Михаилович , 402 , 9в , 5 , Гвасков_ЕМ , Sbro1F00
337 , Жабынина Галина Николаевна , 185 , 7х , 5 , Жабынина_ГН , 1YBGaKun
345 , Зархин Иван Алексиевич , 478 , 11и , 5 , Зархин_ИА , F89gX2rB
352 , Волынский Алексей Виталиевич , 362 , 11т , 5 , Волынский_АВ , eR19Nr48
353 , Машонский Василий Данилович , 23 , 9д , 5 , Машонский_ВД , uSG7Ote3
355 , Борщина Алёна Ивановна , 377 , 11а , 5 , Борщина_АИ , e3XjNdZR
360 , Свльхова Наталья Вадимовна , 160 , 9т , 5 , Свльхова_НВ , amWBn3mX
369 , Балакишиев Роман Алексиевич , 143 , 11х , 5 , Балакишиев_РА , HL5q4MF7
373 , Муринов Анатолий Борисович , 171 , 11б , 5 , Муринов_АБ , dXg90Jbw
375 , Ситчихин Станислав Георгиевич , 247 , 8т , 5 , Ситчихин_СГ , H61fy4ZB
377 , Дзабиев Григорий Георгиевич , 259 , 11д , 5 , Дзабиев_ГГ , Z9KmEZ1h
378 , Рыбаулин Григорий Алексеевич , 140 , 11а , 5 , Рыбаулин_ГА , f3Z4Freq
382 , Синенков Григорий Леонидович , 230 , 9в , 5 , Синенков_ГЛ , xrb2dmKH
383 , Лизункин Артур Олегович , 4 , 11в , 5 , Лизункин_АО , DRYUm2vW
384 , Славущева Александра Эдуардовна , 81 , 8а , 5 , Славущева_АЭ , pbq6blXx
388 , Половодов Кирилл Николаевич , 18 , 8т , 5 , Половодов_КН , lRqfa1M6
392 , Буров Руслан Игоревич , 405 , 11и , 5 , Буров_РИ , CuSqgW4X
396 , Ичкинина Любовь Андреевна , 299 , 8г , 5 , Ичкинина_ЛА , y6cbHZbw
407 , Девляшова Кира Олеговна , 51 , 11д , 5 , Девляшова_КО , f6wbyRK2
408 , Яковкина Алена Никитична , 320 , 9т , 5 , Яковкина_АН , HNapfXX6
411 , Шкапрова Ева Ивановна , 371 , 7б , 5 , Шкапрова_ЕИ , RJtUum4R
432 , Головяшин Павел Юриевич , 179 , 7г , 5 , Головяшин_ПЮ , oObgXE8l
440 , Туморина Ксения Федоровна , 133 , 8б , 5 , Туморина_КФ , 8dxm9YCm
449 , Долбишев Николай Аркадиевич , 292 , 10б , 5 , Долбишев_НА , 1ErmfrxY
460 , Чиличкина Светлана Яковлевна , 5 , 8в , 5 , Чиличкина_СЯ , 0s9bMQkR
467 , Бисеева Полина Романовна , 48 , 7д , 5 , Бисеева_ПР , MVV2AzCd
469 , Тоняев Герасим Петрович , 378 , 9т , 5 , Тоняев_ГП , ONuyMT5H
474 , Аборонова Алиса Алексеевна , 444 , 7г , 5 , Аборонова_АА , Ud9RsuOl
480 , Лабинов Павел Алексеевич , 272 , 7б , 5 , Лабинов_ПА , 7lpqtrhQ
487 , Гершанова Любовь Евгеньевна , 383 , 11т , 5 , Гершанова_ЛЕ , 8jwUJoCv
488 , Салина Алена Егоровна , 73 , 11в , 5 , Салина_АЕ , EdtrhtX9
491 , Гдагазина Лиза Василевна , 212 , 9т , 5 , Гдагазина_ЛВ , 18dCgdqs
496 , Рачнов Герасим Алексеевич , 103 , 10а , 5 , Рачнов_ГА , 1WJgA7jM
2 , Белагина Галина Андреевна , 396 , 9а , 4 , Белагина_ГА , t3lJ8uRv
5 , Жидняева Ксения Эдуардовна , 373 , 7х , 4 , Жидняева_КЭ , sSR363Om
15 , Нехаев Дмитрий Фёдорович , 129 , 7х , 4 , Нехаев_ДФ , jGOttGz0
18 , Стенцов Евгений Яковлевич , 315 , 8и , 4 , Стенцов_ЕЯ , 3eXDbcj2
30 , Петрикеев Станислав Яковлевич , 14 , 7и , 4 , Петрикеев_СЯ , KK3HUgRZ
35 , Оболенин Герасим Павлович , 472 , 7и , 4 , Оболенин_ГП , EF8mEbaD
37 , Поддубская Лиза Игоревна , 496 , 10а , 4 , Поддубская_ЛИ , 68K5mYPO
38 , Телькова Валерия Олеговна , 335 , 7х , 4 , Телькова_ВО , TMVet5rv
42 , Трушинов Максим Алексиевич , 82 , 8и , 4 , Трушинов_МА , aNLrkMl0
43 , Голюков Денис Сергеевич , 62 , 11б , 4 , Голюков_ДС , 1RrYeR02
47 , Поддуев Леонид Олегович , 149 , 9х , 4 , Поддуев_ЛО , 0Cwzxlwe
56 , Колендин Дмитрий Алексеевич , 153 , 10в , 4 , Колендин_ДА , 0qgGR9T2
57 , Сулькова Екатерина Андреевна , 325 , 8и , 4 , Сулькова_ЕА , X7ord1UY
72 , Озрина Катерина Валерьевна , 147 , 10а , 4 , Озрина_КВ , rTLl4Am9
81 , Чукалова Дарья Валерьевна , 20 , 10г , 4 , Чукалова_ДВ , UbmcL8yb
96 , Влянская Мария Андреевна , 490 , 7т , 4 , Влянская_МА , uB9843pm
108 , Дерналов Виталий Викторович , 1 , 9г , 4 , Дерналов_ВВ , 2RgbYrKF
111 , Битюкова Яна Егоровна , 488 , 9и , 4 , Битюкова_ЯЕ , yTvp6MXa
115 , Шкабанова Софья Вадимовна , 499 , 9х , 4 , Шкабанова_СВ , Pyo91xR6
121 , Ивашечкин Александр Данилович , 390 , 10т , 4 , Ивашечкин_АД , OyAtrg55
122 , Мазьянова Инна Богдановна , 416 , 11в , 4 , Мазьянова_ИБ , rtUxe5ml
124 , Заидова Галина Максимовна , 88 , 9т , 4 , Заидова_ГМ , NYrX0FK9
125 , Рамхин Кирилл Алексиевич , 459 , 9х , 4 , Рамхин_КА , y5KNMLvQ
135 , Швичкова Наталья Эдуардовна , 398 , 7г , 4 , Швичкова_НЭ , 7fPqEMWl
136 , Едская Жанна Валерьевна , 436 , 11в , 4 , Едская_ЖВ , s2Rdm0Qz
137 , Поморзина Полина Евгеньевна , 122 , 7д , 4 , Поморзина_ПЕ , JDlk0ptS
138 , Будачева Кира Олеговна , 55 , 11х , 4 , Будачева_КО , z24lUZjN
141 , Маховиков Василий Петрович , 391 , 7х , 4 , Маховиков_ВП , b7eJuqss
149 , Сошьяков Альберт Фёдорович , 17 , 7т , 4 , Сошьяков_АФ , g1VhoYf0
150 , Лугахина Клара Вадимовна , 419 , 8в , 4 , Лугахина_КВ , 6DnF2GNe
151 , Логецкий Анатолий Виталиевич , 372 , 11б , 4 , Логецкий_АВ , nT7Q2cNr
159 , Бендин Иван Яковлевич , 71 , 8и , 4 , Бендин_ИЯ , gdNLMF5c
162 , Мухонкин Тарас Романович , 126 , 9и , 4 , Мухонкин_ТР , JaRB0kxK
166 , Серпков Ярослав Георгиевич , 380 , 10б , 4 , Серпков_ЯГ , DoTemA2E
167 , Хатшуклов Аркадий Николаевич , 42 , 11т , 4 , Хатшуклов_АН , mCp06TAe
175 , Смароверов Яков Борисович , 131 , 11в , 4 , Смароверов_ЯБ , 2p3Kwr1l
179 , Шиловский Вячеслав Максимович , 438 , 9и , 4 , Шиловский_ВМ , 0Ecv4sug
184 , Игумнова Алёна Сергеевна , 114 , 9д , 4 , Игумнова_АС , rp3aJm2w
187 , Шоленинов Федор Максимович , 286 , 11т , 4 , Шоленинов_ФМ , mZGSEl9q
188 , Гундаров Руслан Николаевич , 158 , 9д , 4 , Гундаров_РН , ErJ6cyRR
191 , Роткичева Алиса Максимовна , 410 , 10а , 4 , Роткичева_АМ , 88pn8fAz
192 , Колтышева Марина Вадимовна , 87 , 11г , 4 , Колтышева_МВ , y9tdWLOD
194 , Горцева Кристина Никитична , 246 , 8и , 4 , Горцева_КН , go8AqPyL
203 , Калиженков Семён Алексеевич , 401 , 11а , 4 , Калиженков_СА , gJJOWpp3
208 , Лератов Герасим Сергеевич , 374 , 10а , 4 , Лератов_ГС , pMRT3NzL
218 , Кашавцев Аркадий Леонидович , 58 , 7а , 4 , Кашавцев_АЛ , ytEz0Uhc
231 , Чубатов Константин Леонидович , 279 , 11а , 4 , Чубатов_КЛ , 1uSRVDlq
233 , Черушев Григорий Борисович , 84 , 7г , 4 , Черушев_ГБ , j2eBrL9M
235 , Янкевский Вячеслав Адамович , 167 , 11г , 4 , Янкевский_ВА , ChsLrWX7
236 , Сухручкина Клавдия Аркадьевна , 177 , 7в , 4 , Сухручкина_КА , tzfFMU98
238 , Лигасов Михаил Павлович , 491 , 11г , 4 , Лигасов_МП , AQ5jv22Q
239 , Писарьков Альберт Игоревич , 313 , 8в , 4 , Писарьков_АИ , UhftH3Mt
253 , Татаурова Галина Федоровна , 145 , 10т , 4 , Татаурова_ГФ , pH4RRNVe
255 , Мягченков Артём Денисович , 115 , 7б , 4 , Мягченков_АД , 8SQvqHwv
256 , Брикова Инна Богдановна , 256 , 9б , 4 , Брикова_ИБ , w8fAJ0KU
263 , Рисина Раиса Валерьевна , 451 , 10а , 4 , Рисина_РВ , O1wgZj4a
279 , Згуровская Виктория Андреевна , 220 , 9т , 4 , Згуровская_ВА , 5ZEqGWp2
280 , Секерский Станислав Сергеевич , 235 , 10а , 4 , Секерский_СС , 7yBbwfad
284 , Валягин Григорий Антонович , 94 , 10в , 4 , Валягин_ГА , r5z5U6W2
289 , Киницына Валерия Олеговна , 202 , 7х , 4 , Киницына_ВО , UoJEp53w
296 , Щепалкина Валерия Сергеевна , 134 , 9б , 4 , Щепалкина_ВС , 22lGTc4O
302 , Паушева Виолетта Никитична , 310 , 8г , 4 , Паушева_ВН , JU2qhyRL
304 , Шулунова Алла Алексеевна , 54 , 7д , 4 , Шулунова_АА , r9enLyYJ
321 , Дурылин Георгий Валериевич , 261 , 11т , 4 , Дурылин_ГВ , 32fk4Adf
322 , Болкисева Анна Викторовна , 248 , 7х , 4 , Болкисева_АВ , 8r0R4PyH
323 , Багапов Вячеслав Сергеевич , 99 , 7д , 4 , Багапов_ВС , yV9DqmYf
329 , Федичева Вероника Кирилловна , 37 , 7х , 4 , Федичева_ВК , 73q9TegY
335 , Духонькин Вячеслав Фёдорович , 2 , 9в , 4 , Духонькин_ВФ , 2CU67O8t
338 , Шерюкова Виолетта Романовна , 440 , 9б , 4 , Шерюкова_ВР , m30JZoX8
340 , Шайдуков Андрей Михаилович , 317 , 9и , 4 , Шайдуков_АМ , GlqxA0j3
341 , Смирнягина Дарья Игоревна , 425 , 10в , 4 , Смирнягина_ДИ , w9RVlOEE
343 , Ашукин Вячеслав Михаилович , 191 , 10т , 4 , Ашукин_ВМ , uhgG6GmQ
350 , Ронова Клавдия Валерьевна , 107 , 7и , 4 , Ронова_КВ , D8nv9fPJ
354 , Буриева Зинаида Аркадьевна , 104 , 11д , 4 , Буриева_ЗА , 6nskxtkE
356 , Белчков Олег Иванович , 275 , 10а , 4 , Белчков_ОИ , lrK2dxDT
358 , Оргонова Любовь Максимовна , 264 , 7б , 4 , Оргонова_ЛМ , 5xDmuCf9
362 , Межуев Георгий Юриевич , 355 , 8г , 4 , Межуев_ГЮ , SfN8Ktwu
366 , Дембская Екатерина Никитична , 64 , 11б , 4 , Дембская_ЕН , t1LN0Bm0
370 , Немтюрева Валерия Аркадьевна , 12 , 10г , 4 , Немтюрева_ВА , QPVpVR44
372 , Заходина Полина Леонидовна , 93 , 10д , 4 , Заходина_ПЛ , Tju0XsjK
381 , Цаблинова Виктория Богдановна , 342 , 9г , 4 , Цаблинова_ВБ , 801h6ugY
390 , Заложнев Роман Фёдорович , 448 , 8в , 4 , Заложнев_РФ , 0hjbbVMA
391 , Рыжих Кристина Аркадьевна , 213 , 7а , 4 , Рыжих_КА , K8wyt38H
393 , Гачков Виталий Евгеньевич , 277 , 9т , 4 , Гачков_ВЕ , Kw9KZn4z
399 , Бучеров Тарас Викторович , 429 , 10д , 4 , Бучеров_ТВ , rQl4TEfc
401 , Льянов Федор Вадимович , 328 , 8а , 4 , Льянов_ФВ , FxXZVp7c
402 , Щуркин Георгий Яковлевич , 180 , 8в , 4 , Щуркин_ГЯ , XFj2CLHA
403 , Акулин Федор Адамович , 241 , 10г , 4 , Акулин_ФА , a2O2bAEK
404 , Волженкова Екатерина Ивановна , 233 , 9д , 4 , Волженкова_ЕИ , P1RXkNRt
412 , Чичирин Владимир Георгиевич , 11 , 10а , 4 , Чичирин_ВГ , Wwq9nMk5
415 , Саверина Надежда Андреевна , 407 , 11б , 4 , Саверина_НА , oA16tB7t
419 , Оплетин Владислав Аркадиевич , 361 , 10х , 4 , Оплетин_ВА , X5QhwRYS
420 , Оденова Карина Андреевна , 409 , 8и , 4 , Оденова_КА , DAjexSO8
421 , Семагин Альберт Андреевич , 456 , 10х , 4 , Семагин_АА , cZxNRR7s
424 , Сарсекеева Алёна Никитична , 462 , 11и , 4 , Сарсекеева_АН , Y1qSayRA
425 , Аковецкий Антон Евгеньевич , 500 , 8б , 4 , Аковецкий_АЕ , Stbj0eYG
429 , Симендяев Василий Алексиевич , 45 , 8д , 4 , Симендяев_ВА , xAtRO0nl
430 , Ошитков Максим Сергеевич , 151 , 10г , 4 , Ошитков_МС , ruTk1aNq
437 , Акиярова Алина Эдуардовна , 9 , 11а , 4 , Акиярова_АЭ , 5GR9p6rf
448 , Туфатулин Ярослав Леонидович , 485 , 8х , 4 , Туфатулин_ЯЛ , uv158ZD2
450 , Махтумова Алёна Эдуардовна , 186 , 10б , 4 , Махтумова_АЭ , 4OhJ5VOF
452 , Куранина Алена Леонидовна , 196 , 9б , 4 , Куранина_АЛ , yr4zzjeY
454 , Мизюрова Алиса Никитична , 176 , 7г , 4 , Мизюрова_АН , oPA6rnW3
458 , Пашохонова Анастасия Федоровна , 467 , 9в , 4 , Пашохонова_АФ , UAHKLZ1e
459 , Сузальцева Тамара Михайловна , 357 , 8х , 4 , Сузальцева_ТМ , pSRppH30
462 , Недосекин Владислав Яковлевич , 457 , 10а , 4 , Недосекин_ВЯ , 6qTbamAq
465 , Шишкунов Герасим Юрьевич , 110 , 8т , 4 , Шишкунов_ГЮ , fAYs4kq1
466 , Сухинин Георгий Алексиевич , 475 , 10х , 4 , Сухинин_ГА , c943NYBk
475 , Ягловская Ева Олеговна , 181 , 8в , 4 , Ягловская_ЕО , zRcbwY8N
476 , Шароварова Яна Романовна , 175 , 8а , 4 , Шароварова_ЯР , B3j65oVy
477 , Общев Яков Викторович , 466 , 8а , 4 , Общев_ЯВ , nWU1bmO2
485 , Бульенков Валентин Иванович , 136 , 10т , 4 , Бульенков_ВИ , zqFQlNV6
486 , Тагакова Вероника Яковлевна , 393 , 8т , 4 , Тагакова_ВЯ , Ol9RbOAs
489 , Фрумова Зинаида Аркадьевна , 78 , 8а , 4 , Фрумова_ЗА , k2v5gJll
19 , Феклисов Константин Виталиевич , 270 , 9т , 3.941 , Феклисов_КВ , Yae9FtYx
249 , Грушчева София Евгеньевна , 480 , 11в , 3.625 , Грушчева_СЕ , YyoZuD7j
143 , Законнова Жанна Евгеньевна , 442 , 11и , 3.6 , Законнова_ЖЕ , qmo3sxFF
105 , Арашкова Екатерина Евгеньевна , 356 , 8х , 3.545 , Арашкова_ЕЕ , w2ahYsG9
69 , Кузовенков Игорь Юрьевич , 322 , 9г , 3.444 , Кузовенков_ИЮ , 38k65ZOT
16 , Зызлова Мария Николаевна , 430 , 8г , 3 , Зызлова_МН , 9MexrR85
28 , Барамыкова Александра Алексеевна , 106 , 10а , 3 , Барамыкова_АА , LGpMK9So
36 , Трощинский Георгий Борисович , 67 , 9д , 3 , Трощинский_ГБ , Hs9P9BZ3
40 , Киреевский Артур Игоревич , 119 , 7в , 3 , Киреевский_АИ , 7Fvp1Y9z
44 , Хлиманкова Надежда Валерьевна , 461 , 10б , 3 , Хлиманкова_НВ , 3TpGDYxS
49 , Старокожев Артём Юрьевич , 46 , 8д , 3 , Старокожев_АЮ , zYlPq2Bt
51 , Старынина Кристина Федоровна , 266 , 9д , 3 , Старынина_КФ , myRLApn5
52 , Востров Дмитрий Денисович , 282 , 9г , 3 , Востров_ДД , v1jHDC9o
60 , Сонураева Инна Андреевна , 450 , 9т , 3 , Сонураева_ИА , rP76dNca
62 , Фичкина Евгения Федоровна , 29 , 11д , 3 , Фичкина_ЕФ , oLeT24YZ
67 , Остюков Артур Романович , 329 , 11и , 3 , Остюков_АР , uKzt4Olr
70 , Калухов Тарас Иванович , 207 , 11а , 3 , Калухов_ТИ , uLr4HRuD
71 , Батыров Пётр Виталиевич , 227 , 7и , 3 , Батыров_ПВ , m3bPs9VC
80 , Болохина Екатерина Андреевна , 194 , 11д , 3 , Болохина_ЕА , zrAVStR5
83 , Зудейкина Вероника Ивановна , 166 , 8и , 3 , Зудейкина_ВИ , YdcSyK3y
91 , Лощинский Борис Романович , 210 , 10б , 3 , Лощинский_БР , woRRfW4w
93 , Кафорин Федор Данилович , 427 , 10д , 3 , Кафорин_ФД , S235jYdB
94 , Косынская Алиса Дмитриевна , 40 , 9в , 3 , Косынская_АД , rdR4K1zU
102 , Самчева Вероника Борисовна , 287 , 10г , 3 , Самчева_ВБ , F90CK9j0
107 , Кудекина Зинаида Игоревна , 250 , 10и , 3 , Кудекина_ЗИ , qKSHh5Pd
109 , Сазинова Галина Романовна , 61 , 9и , 3 , Сазинова_ГР , 2ptTyawK
116 , Полозлов Денис Адамович , 155 , 8т , 3 , Полозлов_ДА , ZQ070SXz
117 , Жунина Светлана Михайловна , 162 , 8в , 3 , Жунина_СМ , c66r4yDk
120 , Трещалова Яна Андреевна , 330 , 8б , 3 , Трещалова_ЯА , WtQ78HGJ
133 , Жалкин Алексей Алексеевич , 43 , 7а , 3 , Жалкин_АА , DZ0S5eSc
144 , Перчихин Аркадий Тимофеевич , 164 , 10т , 3 , Перчихин_АТ , ax6H9kjn
145 , Бурдасова Ксения Игоревна , 203 , 9а , 3 , Бурдасова_КИ , MJ7TRRt4
